"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Reported1st case,Primer caso
Palestine,171154,,1956.0,,159369.0,9829.0,67.0,33067.0,378.0,1102247.0,,Mar 04,04-03-2020
Armenia,170011,+191,3158.0,+2,161790.0,5063.0,,57305.0,1064.0,697288.0,,Feb 29,29-02-2020
Guatemala,169610,,6186.0,,156617.0,6807.0,5.0,9358.0,341.0,872232.0,,Mar 12,12-03-2020
Honduras,163305,+721,3965.0,+32,63921.0,95419.0,430.0,16324.0,396.0,421938.0,,Mar 10,10-03-2020
Qatar,159518,+465,256.0,,149320.0,9942.0,95.0,56812.0,91.0,1491675.0,,Feb 28,28-02-2020
Ethiopia,151016,+837,2259.0,+10,130566.0,18191.0,327.0,1293.0,19.0,2076898.0,,Mar 12,12-03-2020
Nigeria,150246,,1803.0,,126417.0,22026.0,10.0,718.0,9.0,1441013.0,,Feb 27,27-02-2020
Paraguay,148622,,3008.0,,124105.0,21509.0,240.0,20676.0,418.0,715394.0,,Mar 06,06-03-2020
Myanmar,141728,+19,3194.0,+3,131209.0,7325.0,,2594.0,58.0,2481411.0,,Mar 22,22-03-2020
Oman,138494,,1549.0,,130084.0,6861.0,56.0,26694.0,299.0,1550000.0,,Feb 23,23-02-2020
Venezuela,134781,,1303.0,,126792.0,6686.0,110.0,4748.0,46.0,2781130.0,,Mar 12,12-03-2020
Libya,129325,+585,2088.0,+27,114305.0,12932.0,,18661.0,301.0,704208.0,,Mar 23,23-03-2020
Bosnia and Herzegovina,127537,+402,4979.0,+17,111991.0,10567.0,,39029.0,1524.0,641921.0,,Mar 04,04-03-2020
Bahrain,115705,,414.0,,107649.0,7642.0,59.0,66554.0,238.0,2954061.0,,Feb 23,23-02-2020
Algeria,111418,,2950.0,,76640.0,31828.0,19.0,2512.0,67.0,,,Feb 24,24-02-2020
Kenya,103841,+226,1813.0,+6,85512.0,16516.0,49.0,1905.0,33.0,1258624.0,,Mar 12,12-03-2020
North Macedonia,98584,+410,3037.0,+19,89022.0,6525.0,131.0,47321.0,1458.0,497268.0,,Feb 25,25-02-2020
Albania,97909,"+1,071",1636.0,+19,61605.0,34668.0,38.0,34046.0,569.0,424255.0,,Mar 07,07-03-2020
S. Korea,86128,+561,1550.0,+6,76513.0,8065.0,153.0,1679.0,30.0,6345992.0,,Jan 19,19-01-2020
Kyrgyzstan,85772,+83,1450.0,+3,82583.0,1739.0,29.0,13011.0,220.0,716555.0,,Mar 17,17-03-2020
Latvia,80040,+689,1533.0,+12,68967.0,9540.0,85.0,42737.0,819.0,1413987.0,,Mar 01,01-03-2020
Uzbekistan,79598,+50,622.0,,78100.0,876.0,153.0,2357.0,18.0,1377915.0,,Mar 14,14-03-2020
Sri Lanka,78937,+517,430.0,,72566.0,5941.0,,3677.0,20.0,1831420.0,,Jan 26,26-01-2020
Ghana,78689,,568.0,,70348.0,7773.0,120.0,2500.0,18.0,854108.0,,Mar 11,11-03-2020
Zambia,73203,+736,1002.0,+11,66013.0,6188.0,304.0,3913.0,54.0,1043006.0,,Mar 17,17-03-2020
Montenegro,71112,+454,932.0,+6,61781.0,8399.0,68.0,113215.0,1484.0,263258.0,,Mar 16,16-03-2020
Norway,68000,+176,607.0,,63783.0,3610.0,15.0,12481.0,111.0,3677501.0,,Feb 25,25-02-2020
Singapore,59846,+14,29.0,,59697.0,120.0,1.0,10179.0,5.0,7024683.0,,Jan 22,22-01-2020
El Salvador,58546,,1785.0,+9,53385.0,3376.0,40.0,8997.0,274.0,742274.0,,Mar 18,18-03-2020
Estonia,56246,+952,518.0,+4,44248.0,11480.0,35.0,42383.0,390.0,879288.0,,Feb 26,26-02-2020
Afghanistan,55580,+5,2430.0,,48803.0,4347.0,1028.0,1408.0,62.0,283569.0,,Feb 23,23-02-2020
Mozambique,54204,+677,583.0,+12,34389.0,19232.0,,1704.0,18.0,398598.0,,Mar 21,21-03-2020
Luxembourg,53782,+220,622.0,+3,50386.0,2774.0,15.0,85043.0,984.0,2041110.0,,Feb 28,28-02-2020
Finland,52653,+444,725.0,,40000.0,11928.0,27.0,9494.0,131.0,3146565.0,,Jan 28,28-01-2020
Uruguay,50752,,558.0,,44976.0,5218.0,71.0,14578.0,160.0,952609.0,,Mar 12,12-03-2020
Cuba,42547,+859,287.0,+5,37206.0,5054.0,64.0,3758.0,25.0,2228351.0,,Mar 10,10-03-2020
Uganda,40168,+14,331.0,,14578.0,25259.0,,861.0,7.0,865510.0,,Mar 20,20-03-2020
Namibia,36993,+313,399.0,+5,34887.0,1707.0,9.0,14395.0,155.0,289625.0,,Mar 13,13-03-2020
Zimbabwe,35710,+167,1430.0,+10,31972.0,2308.0,5.0,2381.0,95.0,321853.0,,Mar 19,19-03-2020
Cameroon,33749,,523.0,,31362.0,1864.0,38.0,1252.0,19.0,149000.0,,Mar 05,05-03-2020
Cyprus,32935,,228.0,,2057.0,30650.0,21.0,27153.0,188.0,1622944.0,,Mar 08,08-03-2020
Senegal,32378,+279,787.0,+6,26624.0,4967.0,52.0,1902.0,46.0,368587.0,,Mar 01,01-03-2020
Ivory Coast,31612,,183.0,,29937.0,1492.0,,1180.0,7.0,394668.0,,Mar 10,10-03-2020
Malawi,29837,,984.0,,15568.0,13285.0,4.0,1535.0,51.0,176148.0,,,
Australia,28918,+6,909.0,,26138.0,1871.0,,1126.0,35.0,13968611.0,,Jan 24,24-01-2020
Sudan,28038,,1864.0,,22638.0,3536.0,,630.0,42.0,,,Mar 12,12-03-2020
Botswana,26524,,254.0,,22363.0,3907.0,1.0,11137.0,107.0,736373.0,,Mar 29,29-03-2020
Thailand,25241,+130,83.0,+1,24070.0,1088.0,1.0,361.0,1.0,1217873.0,,Jan 12,12-01-2020
DRC,24964,+170,695.0,,15736.0,8533.0,,274.0,8.0,,,Mar 09,09-03-2020
Jamaica,20581,+271,391.0,+7,12828.0,7362.0,18.0,6931.0,132.0,191272.0,,Mar 09,09-03-2020
Malta,20563,+154,301.0,,17827.0,2435.0,18.0,46492.0,681.0,668617.0,,Mar 06,06-03-2020
Angola,20452,,498.0,,18972.0,982.0,7.0,610.0,15.0,181192.0,,Mar 19,19-03-2020
Madagascar,19598,,292.0,,18915.0,391.0,23.0,696.0,10.0,116740.0,,Mar 19,19-03-2020
Maldives,18340,,58.0,,15863.0,2419.0,178.0,33556.0,106.0,479841.0,,Mar 06,06-03-2020
French Polynesia,18335,,136.0,,4842.0,13357.0,4.0,65032.0,482.0,26355.0,,Mar 10,10-03-2020
Rwanda,17835,,243.0,,16163.0,1429.0,12.0,1356.0,18.0,964392.0,,Mar 13,13-03-2020
Mauritania,17058,,433.0,,16346.0,279.0,14.0,3609.0,92.0,163276.0,,Mar 12,12-03-2020
Eswatini,16742,+33,644.0,+4,12769.0,3329.0,36.0,14337.0,551.0,143613.0,,Mar 13,13-03-2020
French Guiana,16456,,80.0,,9995.0,6381.0,11.0,54213.0,264.0,143389.0,,Mar 06,06-03-2020
Guinea,15216,+62,86.0,+1,14648.0,482.0,24.0,1139.0,6.0,131342.0,,Mar 12,12-03-2020
Syria,15045,,990.0,,8982.0,5073.0,,847.0,56.0,,,Mar 21,21-03-2020
Cabo Verde,14885,,142.0,,14393.0,350.0,23.0,26589.0,254.0,114116.0,,Mar 19,19-03-2020
Mayotte,14492,,89.0,,2964.0,11439.0,31.0,52326.0,321.0,97041.0,,Mar 13,13-03-2020
Tajikistan,13308,,90.0,,13218.0,0.0,,1376.0,9.0,,,,
Gabon,13107,,75.0,,11955.0,1077.0,15.0,5803.0,33.0,491557.0,,Mar 12,12-03-2020
Belize,12207,,314.0,,11725.0,168.0,3.0,30352.0,781.0,79268.0,,Mar 22,22-03-2020
Haiti,12206,,247.0,,9363.0,2596.0,,1062.0,21.0,49333.0,,Mar 19,19-03-2020
Burkina Faso,11703,,139.0,,11094.0,470.0,,550.0,7.0,,,Mar 08,08-03-2020
Réunion,11562,,48.0,,10576.0,938.0,32.0,12856.0,53.0,98785.0,,Mar 10,10-03-2020
